company_id,year,cfo_cr,cfi_cr,cff_cr,free_cash_flow_cr,pattern_code,pattern_label
ABB,2012,101.0,-59.0,-42.0,42.0,+--,Operating Inflow / Investing & Financing Outflow
ABB,2014,155.0,-144.0,-42.0,11.0,+--,Operating Inflow / Investing & Financing Outflow
ABB,2015,215.0,-187.0,-58.0,28.0,+--,Operating Inflow / Investing & Financing Outflow
ABB,2016,249.0,-77.0,-80.0,172.0,+--,Operating Inflow / Investing & Financing Outflow
ABB,2017,307.0,-155.0,-90.0,152.0,+--,Operating Inflow / Investing & Financing Outflow
ABB,2018,153.0,-215.0,-102.0,-62.0,+--,Operating Inflow / Investing & Financing Outflow
ABB,2019,499.0,-257.0,-143.0,242.0,+--,Operating Inflow / Investing & Financing Outflow
ABB,2020,626.0,-401.0,-217.0,225.0,+--,Operating Inflow / Investing & Financing Outflow
ABB,2021,727.0,-72.0,-582.0,655.0,+--,Operating Inflow / Investing & Financing Outflow
ABB,2022,948.0,-396.0,-637.0,552.0,+--,Operating Inflow / Investing & Financing Outflow
ABB,2023,893.0,-148.0,-639.0,745.0,+--,Operating Inflow / Investing & Financing Outflow
ABB,2024,1213.0,-416.0,-745.0,797.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIENSOL,2014,0.0,0.0,0.0,0.0,+++,Operating-Investing-Financing Inflow
ADANIENSOL,2015,-35.0,-1864.0,1902.0,-1899.0,--+,Operating & Investing Outflow / Financing Inflow
ADANIENSOL,2016,1544.0,-816.0,-722.0,728.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIENSOL,2017,2189.0,-1730.0,-455.0,459.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIENSOL,2018,2198.0,-3192.0,1589.0,-994.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIENSOL,2019,2591.0,-3050.0,38.0,-459.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIENSOL,2020,5437.0,-5643.0,1250.0,-206.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIENSOL,2021,3784.0,-4009.0,-745.0,-225.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIENSOL,2022,4097.0,-3936.0,-235.0,161.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIENSOL,2023,3777.0,-4699.0,923.0,-922.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIENSOL,2024,6038.0,-4943.0,-543.0,1095.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIENT,2013,7666.0,-14790.0,7199.0,-7124.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIENT,2014,8228.0,-8007.0,-1109.0,221.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIENT,2015,8532.0,-11465.0,3445.0,-2933.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIENT,2016,5112.0,-1825.0,-3448.0,3287.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIENT,2017,774.0,-1460.0,716.0,-686.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIENT,2018,2942.0,-7649.0,5120.0,-4707.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIENT,2019,3236.0,2487.0,-6158.0,749.0,++-,Operating & Investing Inflow / Financing Outflow
ADANIENT,2020,2454.0,-1082.0,-221.0,1372.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIENT,2021,4043.0,-8611.0,3109.0,-4568.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIENT,2022,1385.0,-17041.0,15901.0,-15656.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIENT,2023,17626.0,-15459.0,-1198.0,2167.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIENT,2024,10312.0,-18767.0,8879.0,-8455.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIGREEN,2017,28.0,-1511.0,1559.0,-1483.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIGREEN,2018,649.0,-4428.0,3942.0,-3779.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIGREEN,2019,1625.0,-2666.0,1045.0,-1041.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIGREEN,2020,1965.0,-3743.0,2161.0,-1778.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIGREEN,2021,1601.0,-9137.0,7083.0,-7536.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIGREEN,2022,3127.0,-18730.0,15986.0,-15603.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIGREEN,2023,7265.0,-3857.0,-2973.0,3408.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIGREEN,2024,7713.0,-21060.0,13953.0,-13347.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIPORTS,2013,1379.0,-5136.0,4138.0,-3757.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIPORTS,2014,1132.0,-2510.0,772.0,-1378.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIPORTS,2015,3057.0,-2485.0,-237.0,572.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIPORTS,2016,2381.0,-4153.0,2170.0,-1772.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIPORTS,2017,4063.0,-2629.0,-1325.0,1434.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIPORTS,2018,5608.0,-3846.0,-1889.0,1762.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIPORTS,2019,6029.0,-4368.0,2313.0,1661.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIPORTS,2020,7402.0,-749.0,-4256.0,6653.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIPORTS,2021,7556.0,-14064.0,3514.0,-6508.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIPORTS,2022,10420.0,-5493.0,-586.0,4927.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIPORTS,2023,11900.0,-16716.0,-2734.0,-4816.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIPORTS,2024,15018.0,-6768.0,-7800.0,8250.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIPOWER,2013,3001.0,-4064.0,861.0,-1063.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIPOWER,2014,3238.0,-4700.0,1631.0,-1462.0,+-+,Operating Inflow / Investing Outflow / Financing Inflow
ADANIPOWER,2015,5824.0,-4737.0,-1144.0,1087.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIPOWER,2016,5257.0,-2692.0,-2713.0,2565.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIPOWER,2017,4725.0,-1212.0,-3539.0,3513.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIPOWER,2018,5101.0,-520.0,-4600.0,4581.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIPOWER,2019,5610.0,-984.0,-4663.0,4626.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIPOWER,2020,5598.0,-2304.0,-2377.0,3294.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIPOWER,2021,7014.0,-2188.0,-5655.0,4826.0,+--,Operating Inflow / Investing & Financing Outflow
ADANIPOWER,2022,10233.0,774.0,-10338.0,9459.0,++-,Operating & Investing Inflow / Financing Outflow
ADANIPOWER,2023,8431.0,1545.0,-10408.0,6886.0,++-,Operating & Investing Inflow / Financing Outflow
ADANIPOWER,2024,14170.0,3481.0,-16864.0,10689.0,++-,Operating & Investing Inflow / Financing Outflow
AMBUJACEM,2012,1860.0,-388.0,-509.0,1472.0,+--,Operating Inflow / Investing & Financing Outflow
AMBUJACEM,2013,1267.0,-496.0,-672.0,771.0,+--,Operating Inflow / Investing & Financing Outflow
AMBUJACEM,2014,1675.0,-456.0,-721.0,1219.0,+--,Operating Inflow / Investing & Financing Outflow
AMBUJACEM,2015,1557.0,-83.0,-900.0,1474.0,+--,Operating Inflow / Investing & Financing Outflow
AMBUJACEM,2016,2810.0,-4165.0,-958.0,-1355.0,+--,Operating Inflow / Investing & Financing Outflow
