company_id,sector,year,CFO,CFF,latest_net_profit
AXISBANK,Financials,2024,-5555.0,22341.0,26386
BAJFINANCE,Financials,2024,-72760.0,82415.0,15389
BAJAJFINSV,Financials,2024,-68674.0,82709.0,16520
BANKBARODA,Financials,2024,-6274.0,5476.0,20144
BHEL,Industrials,2024,-3713.0,2656.0,445
CHOLAFIN,Financials,2024,-35683.0,38471.0,3852
GRASIM,Industrials,2024,-10719.0,33908.0,8693
M&M,Consumer Discretionary,2024,-5630.0,12281.0,13009
PFC,Financials,2024,-97820.0,101261.0,28248
PNB,Financials,2024,-27939.0,3518.0,14535
RECLTD,Financials,2024,-57723.0,59588.0,14885
SHRIRAMFIN,Financials,2024,-31101.0,27609.0,9454
TVSMOTOR,Consumer Discretionary,2024,-1253.0,2759.0,2094
