company_id,previous_year,latest_year,previous_pattern,latest_pattern,pattern_changed,previous_pattern_code,latest_pattern_code
ABB,2023,2024,Self-Funded Growth,Self-Funded Growth,False,+--,+--
ADANIENSOL,2023,2024,Growth + External Funding,Self-Funded Growth,True,+-+,+--
ADANIENT,2023,2024,Self-Funded Growth,Growth + External Funding,True,+--,+-+
ADANIGREEN,2023,2024,Self-Funded Growth,Growth + External Funding,True,+--,+-+
ADANIPORTS,2023,2024,Self-Funded Growth,Self-Funded Growth,False,+--,+--
ADANIPOWER,2023,2024,Shareholder Returns,Shareholder Returns,False,++-,++-
AMBUJACEM,2023,2024,Growth + External Funding,Growth + External Funding,False,+-+,+-+
APOLLOHOSP,2023,2024,Self-Funded Growth,Self-Funded Growth,False,+--,+--
ASIANPAINT,2023,2024,Self-Funded Growth,Self-Funded Growth,False,+--,+--
ATGL,2023,2024,Data Unavailable,Data Unavailable,False,+++,+++
AXISBANK,2023,2024,Growth + External Funding,Cash Burn,True,+-+,--+
BAJAJ-AUTO,2023,2024,Shareholder Returns,Self-Funded Growth,True,++-,+--
BAJAJFINSV,2023,2024,Cash Burn,Cash Burn,False,--+,--+
BAJAJHLDNG,2023,2024,Self-Funded Growth,Self-Funded Growth,False,+--,+--
BAJFINANCE,2023,2024,Cash Burn,Cash Burn,False,--+,--+
BANKBARODA,2023,2024,Restructuring,Cash Burn,True,---,--+
BEL,2023,2024,Shareholder Returns,Self-Funded Growth,True,++-,+--
BHARTIARTL,2023,2024,Self-Funded Growth,Self-Funded Growth,False,+--,+--
BHEL,2023,2024,Asset Monetisation,Asset Monetisation,False,-++,-++
BOSCHLTD,2023,2024,Shareholder Returns,Shareholder Returns,False,++-,++-
BPCL,2023,2024,Self-Funded Growth,Self-Funded Growth,False,+--,+--
BRITANNIA,2023,2024,Self-Funded Growth,Shareholder Returns,True,+--,++-
CANBK,2023,2024,Cash Burn,Self-Funded Growth,True,--+,+--
CHOLAFIN,2023,2024,Cash Burn,Cash Burn,False,--+,--+
CIPLA,2023,2024,Self-Funded Growth,Self-Funded Growth,False,+--,+--
COALINDIA,2023,2024,Self-Funded Growth,Self-Funded Growth,False,+--,+--
DABUR,2023,2024,Self-Funded Growth,Self-Funded Growth,False,+--,+--
DIVISLAB,2023,2024,Self-Funded Growth,Self-Funded Growth,False,+--,+--
DLF,2023,2024,Self-Funded Growth,Growth + External Funding,True,+--,+-+
DMART,2023,2024,Self-Funded Growth,Self-Funded Growth,False,+--,+--
DRREDDY,2023,2024,Self-Funded Growth,Self-Funded Growth,False,+--,+--
EICHERMOT,2023,2024,Self-Funded Growth,Self-Funded Growth,False,+--,+--
GAIL,2023,2024,Growth + External Funding,Self-Funded Growth,True,+-+,+--
GODREJCP,2023,2024,Self-Funded Growth,Growth + External Funding,True,+--,+-+
GRASIM,2023,2024,Cash Burn,Cash Burn,False,--+,--+
HAL,2023,2024,Self-Funded Growth,Self-Funded Growth,False,+--,+--
HAVELLS,2023,2024,Shareholder Returns,Self-Funded Growth,True,++-,+--
HCLTECH,2023,2024,Self-Funded Growth,Self-Funded Growth,False,+--,+--
HDFCBANK,2023,2024,Growth + External Funding,Shareholder Returns,True,+-+,++-
HDFCLIFE,2023,2024,Growth + External Funding,Self-Funded Growth,True,+-+,+--
